# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	max(p)	max(U)
8.3             	1.68015739e+00	(1.46935217e+00 1.13154490e-01 0.00000000e+00)
8.35            	1.68016273e+00	(1.46939396e+00 1.13154490e-01 0.00000000e+00)
8.4             	1.68016785e+00	(1.46943409e+00 1.13154490e-01 0.00000000e+00)
8.45            	1.68017257e+00	(1.46947271e+00 1.13154490e-01 0.00000000e+00)
8.5             	1.68017801e+00	(1.46950951e+00 1.13154490e-01 0.00000000e+00)
8.55            	1.68018307e+00	(1.46954483e+00 1.13154490e-01 0.00000000e+00)
8.6             	1.68018805e+00	(1.46957873e+00 1.13154490e-01 0.00000000e+00)
8.65            	1.68019338e+00	(1.46961098e+00 1.13154490e-01 0.00000000e+00)
8.7             	1.68019829e+00	(1.46964191e+00 1.13154490e-01 0.00000000e+00)
8.75            	1.68020326e+00	(1.46967150e+00 1.13154490e-01 0.00000000e+00)
8.8             	1.68020839e+00	(1.46969961e+00 1.13154490e-01 0.00000000e+00)
8.85            	1.68021309e+00	(1.46972653e+00 1.13154490e-01 0.00000000e+00)
8.9             	1.68021792e+00	(1.46975221e+00 1.13154490e-01 0.00000000e+00)
8.95            	1.68022276e+00	(1.46977656e+00 1.13154490e-01 0.00000000e+00)
9               	1.68022718e+00	(1.46979983e+00 1.13154490e-01 0.00000000e+00)
9.05            	1.68023177e+00	(1.46982196e+00 1.13154490e-01 0.00000000e+00)
9.1             	1.68023625e+00	(1.46984290e+00 1.13154490e-01 0.00000000e+00)
9.15            	1.68024034e+00	(1.46986287e+00 1.13154490e-01 0.00000000e+00)
9.2             	1.68024461e+00	(1.46988179e+00 1.13154490e-01 0.00000000e+00)
9.25            	1.68024869e+00	(1.46989966e+00 1.13154490e-01 0.00000000e+00)
9.3             	1.68025242e+00	(1.46991665e+00 1.13154490e-01 0.00000000e+00)
9.35            	1.68025632e+00	(1.46993271e+00 1.13154490e-01 0.00000000e+00)
9.4             	1.68025632e+00	(1.46994788e+00 1.13154490e-01 0.00000000e+00)
9.45            	1.68026767e+00	(1.46996209e+00 1.13154490e-01 0.00000000e+00)
9.5             	1.68026688e+00	(1.46997565e+00 1.13154490e-01 0.00000000e+00)
9.55            	1.68026873e+00	(1.46998835e+00 1.13154490e-01 0.00000000e+00)
9.6             	1.68027367e+00	(1.47000027e+00 1.13154490e-01 0.00000000e+00)
9.65            	1.68027559e+00	(1.47001152e+00 1.13154490e-01 0.00000000e+00)
9.7             	1.68027559e+00	(1.47002199e+00 1.13154490e-01 0.00000000e+00)
9.75            	1.68028565e+00	(1.47003205e+00 1.13154490e-01 0.00000000e+00)
9.8             	1.68028452e+00	(1.47004127e+00 1.13154490e-01 0.00000000e+00)
9.85            	1.68028533e+00	(1.47004990e+00 1.13154490e-01 0.00000000e+00)
9.9             	1.68028909e+00	(1.47005803e+00 1.13154490e-01 0.00000000e+00)
9.95            	1.68028909e+00	(1.47006553e+00 1.13154491e-01 0.00000000e+00)
10              	1.68029487e+00	(1.47007263e+00 1.13154490e-01 0.00000000e+00)
10.05           	1.68029512e+00	(1.47007913e+00 1.13154490e-01 0.00000000e+00)
10.1            	1.68029638e+00	(1.47008524e+00 1.13154490e-01 0.00000000e+00)
10.15           	1.68029869e+00	(1.47009094e+00 1.13154490e-01 0.00000000e+00)
10.2            	1.68029869e+00	(1.47009617e+00 1.13154490e-01 0.00000000e+00)
10.25           	1.68030316e+00	(1.47010102e+00 1.13154490e-01 0.00000000e+00)
10.3            	1.68030315e+00	(1.47010552e+00 1.13154490e-01 0.00000000e+00)
10.35           	1.68030408e+00	(1.47010969e+00 1.13154491e-01 0.00000000e+00)
10.4            	1.68030408e+00	(1.47011347e+00 1.13154491e-01 0.00000000e+00)
10.45           	1.68030837e+00	(1.47011710e+00 1.13154490e-01 0.00000000e+00)
10.5            	1.68030835e+00	(1.47012032e+00 1.13154490e-01 0.00000000e+00)
10.55           	1.68030852e+00	(1.47012333e+00 1.13154491e-01 0.00000000e+00)
10.6            	1.68030852e+00	(1.47012599e+00 1.13154491e-01 0.00000000e+00)
10.65           	1.68031139e+00	(1.47012865e+00 1.13154491e-01 0.00000000e+00)
10.7            	1.68031167e+00	(1.47013091e+00 1.13154490e-01 0.00000000e+00)
10.75           	1.68031167e+00	(1.47013301e+00 1.13154490e-01 0.00000000e+00)
10.8            	1.68031272e+00	(1.47013489e+00 1.13154490e-01 0.00000000e+00)
10.85           	1.68031346e+00	(1.47013667e+00 1.13154490e-01 0.00000000e+00)
10.9            	1.68031406e+00	(1.47013825e+00 1.13154490e-01 0.00000000e+00)
10.95           	1.68031406e+00	(1.47013968e+00 1.13154490e-01 0.00000000e+00)
11              	1.68031518e+00	(1.47014096e+00 1.13154490e-01 0.00000000e+00)
11.05           	1.68031551e+00	(1.47014215e+00 1.13154490e-01 0.00000000e+00)
11.1            	1.68031551e+00	(1.47014321e+00 1.13154491e-01 0.00000000e+00)
11.15           	1.68031610e+00	(1.47014425e+00 1.13154491e-01 0.00000000e+00)
11.2            	1.68031610e+00	(1.47014511e+00 1.13154491e-01 0.00000000e+00)
11.25           	1.68031686e+00	(1.47014594e+00 1.13154490e-01 0.00000000e+00)
11.3            	1.68031721e+00	(1.47014663e+00 1.13154490e-01 0.00000000e+00)
11.35           	1.68031737e+00	(1.47014728e+00 1.13154490e-01 0.00000000e+00)
11.4            	1.68031737e+00	(1.47014783e+00 1.13154491e-01 0.00000000e+00)
11.45           	1.68031761e+00	(1.47014841e+00 1.13154491e-01 0.00000000e+00)
11.5            	1.68031761e+00	(1.47014885e+00 1.13154491e-01 0.00000000e+00)
11.55           	1.68031802e+00	(1.47014925e+00 1.13154490e-01 0.00000000e+00)
11.6            	1.68031827e+00	(1.47014959e+00 1.13154490e-01 0.00000000e+00)
11.65           	1.68031827e+00	(1.47014994e+00 1.13154490e-01 0.00000000e+00)
11.7            	1.68031842e+00	(1.47015021e+00 1.13154490e-01 0.00000000e+00)
11.75           	1.68031843e+00	(1.47015049e+00 1.13154491e-01 0.00000000e+00)
11.8            	1.68031858e+00	(1.47015070e+00 1.13154490e-01 0.00000000e+00)
11.85           	1.68031858e+00	(1.47015090e+00 1.13154490e-01 0.00000000e+00)
11.9            	1.68031876e+00	(1.47015101e+00 1.13154490e-01 0.00000000e+00)
11.95           	1.68031876e+00	(1.47015118e+00 1.13154490e-01 0.00000000e+00)
12              	1.68031876e+00	(1.47015129e+00 1.13154490e-01 0.00000000e+00)
12.05           	1.68031876e+00	(1.47015145e+00 1.13154490e-01 0.00000000e+00)
12.1            	1.68031898e+00	(1.47015156e+00 1.13154490e-01 0.00000000e+00)
12.15           	1.68031898e+00	(1.47015168e+00 1.13154490e-01 0.00000000e+00)
12.2            	1.68031900e+00	(1.47015170e+00 1.13154490e-01 0.00000000e+00)
12.25           	1.68031900e+00	(1.47015176e+00 1.13154490e-01 0.00000000e+00)
12.3            	1.68031900e+00	(1.47015182e+00 1.13154490e-01 0.00000000e+00)
12.35           	1.68031900e+00	(1.47015194e+00 1.13154491e-01 0.00000000e+00)
12.4            	1.68031919e+00	(1.47015202e+00 1.13154490e-01 0.00000000e+00)
12.45           	1.68031919e+00	(1.47015207e+00 1.13154490e-01 0.00000000e+00)
12.5            	1.68031919e+00	(1.47015205e+00 1.13154490e-01 0.00000000e+00)
12.55           	1.68031919e+00	(1.47015204e+00 1.13154490e-01 0.00000000e+00)
12.6            	1.68031919e+00	(1.47015210e+00 1.13154490e-01 0.00000000e+00)
12.65           	1.68031919e+00	(1.47015209e+00 1.13154491e-01 0.00000000e+00)
12.7            	1.68031919e+00	(1.47015218e+00 1.13154490e-01 0.00000000e+00)
12.75           	1.68031918e+00	(1.47015218e+00 1.13154490e-01 0.00000000e+00)
12.8            	1.68031918e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
12.85           	1.68031917e+00	(1.47015217e+00 1.13154490e-01 0.00000000e+00)
12.9            	1.68031917e+00	(1.47015219e+00 1.13154490e-01 0.00000000e+00)
12.95           	1.68031917e+00	(1.47015215e+00 1.13154490e-01 0.00000000e+00)
13              	1.68031917e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
13.05           	1.68031917e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
13.1            	1.68031917e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
13.15           	1.68031917e+00	(1.47015220e+00 1.13154490e-01 0.00000000e+00)
13.2            	1.68031917e+00	(1.47015217e+00 1.13154490e-01 0.00000000e+00)
13.25           	1.68031917e+00	(1.47015225e+00 1.13154490e-01 0.00000000e+00)
13.3            	1.68031917e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
13.35           	1.68031917e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
13.4            	1.68031918e+00	(1.47015220e+00 1.13154490e-01 0.00000000e+00)
13.45           	1.68031918e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
13.5            	1.68031918e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
13.55           	1.68031917e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
13.6            	1.68031917e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
13.65           	1.68031917e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
13.7            	1.68031918e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
13.75           	1.68031918e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
13.8            	1.68031918e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
13.85           	1.68031918e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
13.9            	1.68031933e+00	(1.47015226e+00 1.13154490e-01 0.00000000e+00)
13.95           	1.68031933e+00	(1.47015227e+00 1.13154490e-01 0.00000000e+00)
14              	1.68031933e+00	(1.47015229e+00 1.13154490e-01 0.00000000e+00)
14.05           	1.68031933e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
14.1            	1.68031921e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
14.15           	1.68031921e+00	(1.47015219e+00 1.13154490e-01 0.00000000e+00)
14.2            	1.68031921e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
14.25           	1.68031921e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
14.3            	1.68031921e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
14.35           	1.68031920e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
14.4            	1.68031920e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
14.45           	1.68031920e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
14.5            	1.68031919e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
14.55           	1.68031919e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
14.6            	1.68031919e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
14.65           	1.68031919e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
14.7            	1.68031919e+00	(1.47015225e+00 1.13154490e-01 0.00000000e+00)
